epoch,learning_rate,loss,sparse_categorical_accuracy,sparse_top_k_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,val_sparse_top_k_categorical_accuracy
0,9.999999747378752e-05,3.7089195251464844,0.48643749952316284,0.6025624871253967,3.584108829498291,0.5253124833106995,0.715624988079071
1,9.999999747378752e-05,3.415740489959717,0.5272499918937683,0.7396875023841858,3.1490354537963867,0.5253124833106995,0.7571874856948853
2,9.999999747378752e-05,2.762481212615967,0.5272499918937683,0.7519999742507935,2.2344613075256348,0.5253124833106995,0.7418749928474426
3,9.999999747378752e-05,1.9717111587524414,0.5272499918937683,0.7470625042915344,1.818822979927063,0.5253124833106995,0.7418749928474426
4,9.999999747378752e-05,1.7763160467147827,0.5272499918937683,0.7434999942779541,1.7448115348815918,0.5253124833106995,0.7425000071525574
5,9.999999747378752e-05,1.7084647417068481,0.5272499918937683,0.7444375157356262,1.6745723485946655,0.5253124833106995,0.7443749904632568
6,9.999999747378752e-05,1.6394586563110352,0.5277500152587891,0.746749997138977,1.60247802734375,0.5337499976158142,0.7465624809265137
7,9.999999747378752e-05,1.5639338493347168,0.5452499985694885,0.7493125200271606,1.521304726600647,0.5575000047683716,0.7462499737739563
8,9.999999747378752e-05,1.485540747642517,0.5661875009536743,0.754812479019165,1.447858452796936,0.5771874785423279,0.7578125
9,9.999999747378752e-05,1.4244484901428223,0.5854374766349792,0.7693750262260437,1.3972004652023315,0.5903124809265137,0.7756249904632568
10,9.999999747378752e-05,1.381608486175537,0.5976874828338623,0.7813125252723694,1.3578360080718994,0.6168749928474426,0.7925000190734863
11,9.999999747378752e-05,1.3470206260681152,0.6192499995231628,0.7927500009536743,1.3245295286178589,0.6331250071525574,0.8012499809265137
12,9.999999747378752e-05,1.3194224834442139,0.6354374885559082,0.7999374866485596,1.2975685596466064,0.6412500143051147,0.8046875
13,9.999999747378752e-05,1.2965357303619385,0.6400625109672546,0.8038750290870667,1.2756164073944092,0.6431249976158142,0.8068749904632568
14,9.999999747378752e-05,1.2811158895492554,0.6416875123977661,0.8081250190734863,1.2590138912200928,0.6440625190734863,0.8090624809265137
15,9.999999747378752e-05,1.2674628496170044,0.6441249847412109,0.8087499737739563,1.2455984354019165,0.643750011920929,0.809374988079071
16,9.999999747378752e-05,1.2553240060806274,0.6448749899864197,0.8100000023841858,1.233500361442566,0.6443750262260437,0.8140624761581421
17,9.999999747378752e-05,1.2445486783981323,0.6453750133514404,0.8105624914169312,1.223887324333191,0.6434375047683716,0.8149999976158142
18,9.999999747378752e-05,1.232509970664978,0.6463124752044678,0.8121874928474426,1.213637351989746,0.6468750238418579,0.8174999952316284
19,9.999999747378752e-05,1.2246613502502441,0.6480000019073486,0.8134999871253967,1.2059564590454102,0.6474999785423279,0.8184375166893005
