epoch,learning_rate,loss,sparse_categorical_accuracy,sparse_top_k_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,val_sparse_top_k_categorical_accuracy
0,9.999999747378752e-05,3.4022305011749268,0.4975000023841858,0.648062527179718,2.6146106719970703,0.5253124833106995,0.7634375095367432
1,9.999999747378752e-05,2.0233728885650635,0.5272499918937683,0.7557500004768372,1.8335341215133667,0.5253124833106995,0.7528125047683716
2,9.999999747378752e-05,1.7090085744857788,0.5469375252723694,0.7594375014305115,1.5463813543319702,0.5856249928474426,0.784375011920929
3,9.999999747378752e-05,1.4648807048797607,0.5923125147819519,0.7837499976158142,1.368451714515686,0.5996875166893005,0.7850000262260437
4,9.999999747378752e-05,1.3251032829284668,0.6300625205039978,0.7973124980926514,1.2643507719039917,0.6387500166893005,0.807812511920929
5,9.999999747378752e-05,1.2624567747116089,0.6373124718666077,0.8056874871253967,1.2392364740371704,0.635937511920929,0.8081250190734863
6,9.999999747378752e-05,1.2349847555160522,0.6391249895095825,0.809374988079071,1.2141438722610474,0.6393749713897705,0.8137500286102295
7,9.999999747378752e-05,1.20984947681427,0.6443750262260437,0.8124374747276306,1.1963858604431152,0.6587499976158142,0.8199999928474426
8,9.999999747378752e-05,1.1943050622940063,0.6549375057220459,0.8148750066757202,1.1901278495788574,0.6696875095367432,0.8199999928474426
9,9.999999747378752e-05,1.1950325965881348,0.6571249961853027,0.815625011920929,1.1844426393508911,0.659375011920929,0.8209375143051147
10,9.999999747378752e-05,1.1878052949905396,0.6542500257492065,0.815625011920929,1.1788266897201538,0.6565625071525574,0.8224999904632568
11,9.999999747378752e-05,1.1796537637710571,0.6568124890327454,0.8178125023841858,1.1714696884155273,0.6612499952316284,0.8243749737739563
12,9.999999747378752e-05,1.1751246452331543,0.656499981880188,0.8186874985694885,1.169581651687622,0.667187511920929,0.8246874809265137
13,9.999999747378752e-05,3.4706571102142334,0.08412499725818634,0.10406249761581421,3.8066623210906982,0.0,0.0
14,9.999999747378752e-05,3.8066627979278564,0.0,0.0,3.8066623210906982,0.0,0.0
15,9.999999747378752e-05,3.8066627979278564,0.0,0.0,3.8066623210906982,0.0,0.0
16,9.999999747378752e-05,3.8066627979278564,0.0,0.0,3.8066623210906982,0.0,0.0
17,9.999999747378752e-05,3.8066627979278564,0.0,0.0,3.8066623210906982,0.0,0.0
18,4.999999873689376e-05,3.8066627979278564,0.0,0.0,3.8066623210906982,0.0,0.0
19,4.999999873689376e-05,3.8066627979278564,0.0,0.0,3.8066623210906982,0.0,0.0
