RNN_type,learning_rate,latent_dim,epochs,dropout_rate,batch_size,val_loss,best_val_sparse_categorical_accuracy,best_val_sparse_top_k_categorical_accuracy,best_val_accuracy
GRU,0.002,128,21,0.3,256,0.26382288336753845,0.9315312504768372,0.9888749718666077,0.9315312504768372
GRU,0.005,128,15,0.3,256,0.2690671980381012,0.9311562776565552,0.9877499938011169,0.9311562776565552
GRU,0.001,128,35,0.2,256,0.26956936717033386,0.928781270980835,0.988656222820282,0.928781270980835
GRU,0.001,128,35,0.3,256,0.27608993649482727,0.9286562204360962,0.9880625009536743,0.9286562204360962
GRU,0.002,128,22,0.2,256,0.27854499220848083,0.9280312657356262,0.987906277179718,0.9280312657356262
GRU,0.005,128,19,0.2,256,0.28028300404548645,0.9284062385559082,0.9877499938011169,0.9284062385559082
GRU,0.002,512,13,0.2,256,0.29232460260391235,0.9240312576293945,0.9866562485694885,0.9240312576293945
GRU,0.002,512,15,0.3,256,0.30477175116539,0.921875,0.9856250286102295,0.921875
GRU,0.001,256,38,0.3,256,0.31318342685699463,0.9241874814033508,0.9809374809265137,0.9241874814033508
GRU,0.001,512,21,0.3,256,0.318643182516098,0.9229062795639038,0.9806562662124634,0.9229062795639038
GRU,0.001,512,23,0.2,256,0.3217564821243286,0.9206874966621399,0.9823437333106995,0.9206874966621399
GRU,0.002,256,23,0.2,256,0.32192033529281616,0.9234687685966492,0.9811875224113464,0.9234687685966492
GRU,0.005,256,15,0.3,256,0.32303279638290405,0.9204687476158142,0.9815624952316284,0.9204687476158142
GRU,0.001,256,28,0.2,256,0.34838828444480896,0.9168750047683716,0.9747499823570251,0.9168750047683716
GRU,0.005,512,6,0.3,256,0.3648078441619873,0.9073749780654907,0.9790937304496765,0.9073749780654907
GRU,0.002,256,3,0.3,256,0.42686864733695984,0.9019374847412109,0.9632187485694885,0.9019374847412109
GRU,0.005,256,34,0.2,256,0.6273893713951111,0.840624988079071,0.9602187275886536,0.840624988079071
GRU,0.005,512,1,0.2,256,1.0341126918792725,0.6918125152587891,0.8717812299728394,0.6918125152587891
