epoch,accuracy,learning_rate,loss,sparse_categorical_accuracy,sparse_top_k_categorical_accuracy,val_accuracy,val_loss,val_sparse_categorical_accuracy,val_sparse_top_k_categorical_accuracy
0,0.6821749806404114,0.004999999888241291,1.1842985153198242,0.6821749806404114,0.8366249799728394,0.835031270980835,0.6478185057640076,0.835031270980835,0.9461562633514404
1,0.8716562390327454,0.004999999888241291,0.5012093782424927,0.8716562390327454,0.9644812345504761,0.8979062438011169,0.4055871069431305,0.8979062438011169,0.9755625128746033
2,0.9053312540054321,0.004999999888241291,0.3719337582588196,0.9053312540054321,0.9805750250816345,0.8994374871253967,0.3773333430290222,0.8994374871253967,0.9829062223434448
3,0.9179812669754028,0.004999999888241291,0.32016754150390625,0.9179812669754028,0.9854937791824341,0.9193437695503235,0.3151535093784332,0.9193437695503235,0.9857812523841858
4,0.9238499999046326,0.004999999888241291,0.292499303817749,0.9238499999046326,0.9874625205993652,0.9208437204360962,0.30895936489105225,0.9208437204360962,0.9862812757492065
5,0.9275000095367432,0.004999999888241291,0.2763557732105255,0.9275000095367432,0.9885374903678894,0.917187511920929,0.3112665116786957,0.917187511920929,0.9867187738418579
6,0.930774986743927,0.004999999888241291,0.26222679018974304,0.930774986743927,0.9893624782562256,0.9221875071525574,0.2947535514831543,0.9221875071525574,0.9873124957084656
7,0.9314437508583069,0.004999999888241291,0.25747087597846985,0.9314437508583069,0.9897875189781189,0.9245625138282776,0.2868369221687317,0.9245625138282776,0.9872187376022339
8,0.9344499707221985,0.004999999888241291,0.24458129703998566,0.9344499707221985,0.9907125234603882,0.9241562485694885,0.2915858328342438,0.9241562485694885,0.9860625267028809
9,0.9368062615394592,0.004999999888241291,0.23603399097919464,0.9368062615394592,0.9909062385559082,0.9233750104904175,0.2939015030860901,0.9233750104904175,0.9862499833106995
10,0.938462495803833,0.004999999888241291,0.22842131555080414,0.938462495803833,0.9914625287055969,0.9242812395095825,0.2898866832256317,0.9242812395095825,0.9867187738418579
11,0.9395562410354614,0.004999999888241291,0.22473305463790894,0.9395562410354614,0.9916062355041504,0.9253749847412109,0.29335710406303406,0.9253749847412109,0.9869687557220459
12,0.9401000142097473,0.004999999888241291,0.22121602296829224,0.9401000142097473,0.9919624924659729,0.9254375100135803,0.2928627133369446,0.9254375100135803,0.9862812757492065
13,0.9452062249183655,0.0024999999441206455,0.20194198191165924,0.9452062249183655,0.9927187561988831,0.9263437390327454,0.28085824847221375,0.9263437390327454,0.9874374866485596
14,0.9471625089645386,0.0024999999441206455,0.19342787563800812,0.9471625089645386,0.9934750199317932,0.9252187609672546,0.2826634645462036,0.9252187609672546,0.9870625138282776
15,0.9496312737464905,0.0024999999441206455,0.1854947805404663,0.9496312737464905,0.9935749769210815,0.9265312552452087,0.2839547395706177,0.9265312552452087,0.9864374995231628
16,0.9478937387466431,0.0024999999441206455,0.18859677016735077,0.9478937387466431,0.9935687780380249,0.9271562695503235,0.2880930006504059,0.9271562695503235,0.9866562485694885
17,0.9497437477111816,0.0024999999441206455,0.18271340429782867,0.9497437477111816,0.9939062595367432,0.9273437261581421,0.28763118386268616,0.9273437261581421,0.9862812757492065
18,0.9509750008583069,0.0024999999441206455,0.17683711647987366,0.9509750008583069,0.9940500259399414,0.9243437647819519,0.2945772707462311,0.9243437647819519,0.9865624904632568
19,0.9539499878883362,0.0012499999720603228,0.16738416254520416,0.9539499878883362,0.9947312474250793,0.9284062385559082,0.28028300404548645,0.9284062385559082,0.9877499938011169
20,0.955481231212616,0.0012499999720603228,0.16106395423412323,0.955481231212616,0.9947437644004822,0.9286249876022339,0.2819164991378784,0.9286249876022339,0.9878125190734863
21,0.9567750096321106,0.0012499999720603228,0.1567063182592392,0.9567750096321106,0.9949625134468079,0.9288437366485596,0.28312623500823975,0.9288437366485596,0.9876562356948853
22,0.9572250247001648,0.0012499999720603228,0.15501603484153748,0.9572250247001648,0.9950000047683716,0.9286249876022339,0.28404414653778076,0.9286249876022339,0.9874062538146973
23,0.9577312469482422,0.0012499999720603228,0.153200164437294,0.9577312469482422,0.9951249957084656,0.9284999966621399,0.28572091460227966,0.9284999966621399,0.9871875047683716
24,0.9582499861717224,0.0012499999720603228,0.15056642889976501,0.9582499861717224,0.9952062368392944,0.9283437728881836,0.2873018682003021,0.9283437728881836,0.9872812628746033
25,0.9596250057220459,0.0006249999860301614,0.14599981904029846,0.9596250057220459,0.9954562783241272,0.9289374947547913,0.2867089807987213,0.9289374947547913,0.9872499704360962
26,0.9604374766349792,0.0006249999860301614,0.14362165331840515,0.9604374766349792,0.9955437779426575,0.9290000200271606,0.2870427072048187,0.9290000200271606,0.9870625138282776
27,0.9607250094413757,0.0006249999860301614,0.14298629760742188,0.9607250094413757,0.9956062436103821,0.9281562566757202,0.2889971137046814,0.9281562566757202,0.9870625138282776
28,0.9606187343597412,0.0006249999860301614,0.1416388899087906,0.9606187343597412,0.9955562353134155,0.9289374947547913,0.2892179489135742,0.9289374947547913,0.9867187738418579
29,0.9608625173568726,0.0006249999860301614,0.1412416249513626,0.9608625173568726,0.9957812428474426,0.9275624752044678,0.2911648750305176,0.9275624752044678,0.9869999885559082
