epoch,accuracy,learning_rate,loss,sparse_categorical_accuracy,sparse_top_k_categorical_accuracy,val_accuracy,val_loss,val_sparse_categorical_accuracy,val_sparse_top_k_categorical_accuracy
0,0.6002312302589417,0.0010000000474974513,1.5286237001419067,0.6002312302589417,0.7745937705039978,0.6753749847412109,1.1387975215911865,0.6753749847412109,0.8331562280654907
1,0.7070624828338623,0.0010000000474974513,1.0417696237564087,0.7070624828338623,0.8642937541007996,0.738531231880188,0.9564441442489624,0.738531231880188,0.8821250200271606
2,0.768875002861023,0.0010000000474974513,0.8650389909744263,0.768875002861023,0.9024624824523926,0.8067812323570251,0.7749280333518982,0.8067812323570251,0.9166874885559082
3,0.8193312287330627,0.0010000000474974513,0.7197222113609314,0.8193312287330627,0.9238937497138977,0.83984375,0.6686846017837524,0.83984375,0.9279062747955322
4,0.8491500020027161,0.0010000000474974513,0.618670642375946,0.8491500020027161,0.937556266784668,0.8673437237739563,0.5695783495903015,0.8673437237739563,0.9425937533378601
5,0.8689812421798706,0.0010000000474974513,0.5421180725097656,0.8689812421798706,0.9484937787055969,0.8779062628746033,0.5115736722946167,0.8779062628746033,0.9519062638282776
6,0.88324373960495,0.0010000000474974513,0.4833940863609314,0.88324373960495,0.9574375152587891,0.8968124985694885,0.4434511065483093,0.8968124985694885,0.9613749980926514
7,0.8941312432289124,0.0010000000474974513,0.4405961334705353,0.8941312432289124,0.9639187455177307,0.9024999737739563,0.41585955023765564,0.9024999737739563,0.9649375081062317
8,0.9000124931335449,0.0010000000474974513,0.41270264983177185,0.9000124931335449,0.9679937362670898,0.9047812223434448,0.39804956316947937,0.9047812223434448,0.9682499766349792
9,0.9055125117301941,0.0010000000474974513,0.3912983536720276,0.9055125117301941,0.9717749953269958,0.9031875133514404,0.39524349570274353,0.9031875133514404,0.9700624942779541
10,0.9013500213623047,0.0010000000474974513,0.40848711133003235,0.9013500213623047,0.9698625206947327,0.9097499847412109,0.3752998411655426,0.9097499847412109,0.9722499847412109
11,0.9031500220298767,0.0010000000474974513,0.3987050950527191,0.9031500220298767,0.972000002861023,0.9105937480926514,0.3818269670009613,0.9105937480926514,0.9703124761581421
12,0.9075312614440918,0.0010000000474974513,0.3835570514202118,0.9075312614440918,0.9736875295639038,0.9150937795639038,0.3611249625682831,0.9150937795639038,0.9747187495231628
