epoch,accuracy,learning_rate,loss,sparse_categorical_accuracy,sparse_top_k_categorical_accuracy,val_accuracy,val_loss,val_sparse_categorical_accuracy,val_sparse_top_k_categorical_accuracy
0,0.8325381278991699,0.00800000037997961,0.6334509253501892,0.8325381278991699,0.936606228351593,0.9264000058174133,0.28432896733283997,0.9264000058174133,0.9885406494140625
1,0.9272900223731995,0.00800000037997961,0.2769339382648468,0.9272900223731995,0.988793134689331,0.9324093461036682,0.2535233497619629,0.9324093461036682,0.9906749725341797
2,0.9330056309700012,0.00800000037997961,0.25103360414505005,0.9330056309700012,0.9902743697166443,0.9353562593460083,0.24138642847537994,0.9353562593460083,0.9910843968391418
3,0.9358387589454651,0.00800000037997961,0.2385348379611969,0.9358387589454651,0.9909781217575073,0.9372031092643738,0.23419928550720215,0.9372031092643738,0.991321861743927
4,0.9372093677520752,0.00800000037997961,0.23155927658081055,0.9372093677520752,0.9912493824958801,0.9381468892097473,0.22972236573696136,0.9381468892097473,0.9914156198501587
5,0.9390000104904175,0.00800000037997961,0.2246021330356598,0.9390000104904175,0.9916630983352661,0.9390249848365784,0.22650709748268127,0.9390249848365784,0.9914781451225281
6,0.9395312666893005,0.00800000037997961,0.2204384207725525,0.9395312666893005,0.9917894005775452,0.938587486743927,0.22486740350723267,0.938587486743927,0.9916187524795532
7,0.9411419034004211,0.00800000037997961,0.21430617570877075,0.9411419034004211,0.992196261882782,0.9398312568664551,0.21986879408359528,0.9398312568664551,0.9917812347412109
8,0.9419812560081482,0.00800000037997961,0.21032990515232086,0.9419812560081482,0.9924031496047974,0.9407625198364258,0.216630756855011,0.9407625198364258,0.9919999837875366
9,0.9423443675041199,0.00800000037997961,0.20788975059986115,0.9423443675041199,0.9925268888473511,0.9409875273704529,0.2174643725156784,0.9409875273704529,0.9919156432151794
10,0.9424431324005127,0.00800000037997961,0.20790813863277435,0.9424431324005127,0.9925643801689148,0.9415093660354614,0.21435168385505676,0.9415093660354614,0.9920656085014343
11,0.9428087472915649,0.00800000037997961,0.20626451075077057,0.9428087472915649,0.9926562309265137,0.9407937526702881,0.2165890336036682,0.9407937526702881,0.9919499754905701
12,0.9428568482398987,0.00800000037997961,0.2056179642677307,0.9428568482398987,0.9927074909210205,0.9404906034469604,0.2163589894771576,0.9404906034469604,0.9919875264167786
13,0.943253755569458,0.00800000037997961,0.2031906694173813,0.943253755569458,0.9928156137466431,0.9400937557220459,0.21911777555942535,0.9400937557220459,0.9916375279426575
14,0.9430043697357178,0.00800000037997961,0.20473065972328186,0.9430043697357178,0.9928212761878967,0.940346896648407,0.2183949500322342,0.940346896648407,0.991937518119812
15,0.9432787299156189,0.00800000037997961,0.2029721736907959,0.9432787299156189,0.9929506182670593,0.9410156011581421,0.2163679450750351,0.9410156011581421,0.9920687675476074
16,0.9468137621879578,0.004000000189989805,0.18909361958503723,0.9468137621879578,0.9935937523841858,0.9431250095367432,0.20822599530220032,0.9431250095367432,0.9924625158309937
17,0.9481518864631653,0.004000000189989805,0.18385767936706543,0.9481518864631653,0.9938462376594543,0.943274974822998,0.20707741379737854,0.943274974822998,0.9926062226295471
18,0.9483862519264221,0.004000000189989805,0.18217618763446808,0.9483862519264221,0.9938412308692932,0.9431124925613403,0.20820017158985138,0.9431124925613403,0.9924749732017517
19,0.9489768743515015,0.004000000189989805,0.17987710237503052,0.9489768743515015,0.994082510471344,0.9434062242507935,0.20671264827251434,0.9434062242507935,0.9925718903541565
20,0.9487756490707397,0.004000000189989805,0.18012067675590515,0.9487756490707397,0.9940412640571594,0.9430062770843506,0.20773132145404816,0.9430062770843506,0.9923375248908997
21,0.9488768577575684,0.004000000189989805,0.1799093335866928,0.9488768577575684,0.9940906167030334,0.942674994468689,0.20896165072917938,0.942674994468689,0.9924812316894531
22,0.948467493057251,0.004000000189989805,0.18159082531929016,0.948467493057251,0.9940056204795837,0.9426218867301941,0.21062883734703064,0.9426218867301941,0.9922500252723694
23,0.9488381147384644,0.004000000189989805,0.17967486381530762,0.9488381147384644,0.9940487742424011,0.9421968460083008,0.21086063981056213,0.9421968460083008,0.9921156167984009
24,0.9487712383270264,0.004000000189989805,0.1800527274608612,0.9487712383270264,0.9940818548202515,0.9419000148773193,0.2117908000946045,0.9419000148773193,0.992215633392334
25,0.9510031342506409,0.0020000000949949026,0.17118048667907715,0.9510031342506409,0.994555652141571,0.9438593983650208,0.20544353127479553,0.9438593983650208,0.9925656318664551
26,0.9518693685531616,0.0020000000949949026,0.16776107251644135,0.9518693685531616,0.9946424961090088,0.9435874819755554,0.2062169462442398,0.9435874819755554,0.9924906492233276
27,0.9523818492889404,0.0020000000949949026,0.1660480499267578,0.9523818492889404,0.9947624802589417,0.9441843628883362,0.20537631213665009,0.9441843628883362,0.9925593733787537
28,0.9528712630271912,0.0020000000949949026,0.1642262488603592,0.9528712630271912,0.9948474764823914,0.9437000155448914,0.20653153955936432,0.9437000155448914,0.9924874901771545
29,0.9528106451034546,0.0020000000949949026,0.16418243944644928,0.9528106451034546,0.9948999881744385,0.9439031481742859,0.20782087743282318,0.9439031481742859,0.9923062324523926
30,0.9528237581253052,0.0020000000949949026,0.16430823504924774,0.9528237581253052,0.9948393702507019,0.9437500238418579,0.2073778361082077,0.9437500238418579,0.9924437403678894
31,0.9537850022315979,0.0010000000474974513,0.16025105118751526,0.9537850022315979,0.995083749294281,0.944168746471405,0.20593605935573578,0.944168746471405,0.9925000071525574
32,0.9542350172996521,0.0010000000474974513,0.15878699719905853,0.9542350172996521,0.9950993657112122,0.9443749785423279,0.20571815967559814,0.9443749785423279,0.9923843741416931
33,0.9543069005012512,0.0010000000474974513,0.15839865803718567,0.9543069005012512,0.9951143860816956,0.9440687298774719,0.20544223487377167,0.9440687298774719,0.9924718737602234
34,0.9545400142669678,0.0010000000474974513,0.15735980868339539,0.9545400142669678,0.9951462745666504,0.9442218542098999,0.2055477350950241,0.9442218542098999,0.992409348487854
35,0.9543562531471252,0.0010000000474974513,0.15788868069648743,0.9543562531471252,0.9951081275939941,0.944043755531311,0.20583049952983856,0.944043755531311,0.9924312233924866
36,0.9550399780273438,0.0005000000237487257,0.15533621609210968,0.9550399780273438,0.995247483253479,0.944253146648407,0.20463833212852478,0.944253146648407,0.9925156235694885
37,0.9553787708282471,0.0005000000237487257,0.15469855070114136,0.9553787708282471,0.9952487349510193,0.9445968866348267,0.2046462893486023,0.9445968866348267,0.9925249814987183
38,0.9552693963050842,0.0005000000237487257,0.1544959396123886,0.9552693963050842,0.9952887296676636,0.9442499876022339,0.2048639953136444,0.9442499876022339,0.9924812316894531
39,0.9551950097084045,0.0005000000237487257,0.15459197759628296,0.9551950097084045,0.9952868819236755,0.9444843530654907,0.2050706297159195,0.9444843530654907,0.9924812316894531
40,0.9554175138473511,0.0005000000237487257,0.15428593754768372,0.9554175138473511,0.9953006505966187,0.9442968964576721,0.20530535280704498,0.9442968964576721,0.9924468994140625
41,0.9554181098937988,0.0005000000237487257,0.1539093405008316,0.9554181098937988,0.9953480958938599,0.9443749785423279,0.2055574506521225,0.9443749785423279,0.9923874735832214
42,0.9555687308311462,0.0002500000118743628,0.15295347571372986,0.9555687308311462,0.9954012632369995,0.9445187449455261,0.2050284445285797,0.9445187449455261,0.9924874901771545
43,0.9558200240135193,0.0002500000118743628,0.15269047021865845,0.9558200240135193,0.9954043626785278,0.9445124864578247,0.20508071780204773,0.9445124864578247,0.9925031065940857
44,0.9556937217712402,0.0002500000118743628,0.15263544023036957,0.9556937217712402,0.9953606128692627,0.9444500207901001,0.2050822526216507,0.9444500207901001,0.9924968481063843
45,0.9558287262916565,0.0002500000118743628,0.15254315733909607,0.9558287262916565,0.9953712224960327,0.9444812536239624,0.20515593886375427,0.9444812536239624,0.9924906492233276
46,0.9557775259017944,0.0002500000118743628,0.15229666233062744,0.9557775259017944,0.995353102684021,0.944350004196167,0.20539504289627075,0.944350004196167,0.992437481880188
