epoch,accuracy,learning_rate,loss,sparse_categorical_accuracy,sparse_top_k_categorical_accuracy,val_accuracy,val_loss,val_sparse_categorical_accuracy,val_sparse_top_k_categorical_accuracy
0,0.8119443655014038,0.009999999776482582,0.6965528130531311,0.8119443655014038,0.9265987277030945,0.9127843976020813,0.3425981104373932,0.9127843976020813,0.983287513256073
1,0.9206468462944031,0.009999999776482582,0.30741557478904724,0.9206468462944031,0.986192524433136,0.9298281073570251,0.27088576555252075,0.9298281073570251,0.9890656471252441
2,0.9295006394386292,0.009999999776482582,0.2678678631782532,0.9295006394386292,0.9891656041145325,0.9327531456947327,0.25469252467155457,0.9327531456947327,0.9900437593460083
3,0.9332781434059143,0.009999999776482582,0.2501908540725708,0.9332781434059143,0.9901637434959412,0.9351781010627747,0.24251122772693634,0.9351781010627747,0.9907875061035156
4,0.9352243542671204,0.009999999776482582,0.2409771829843521,0.9352243542671204,0.9907855987548828,0.9360530972480774,0.23602548241615295,0.9360530972480774,0.9909812211990356
5,0.9367706179618835,0.009999999776482582,0.2334311455488205,0.9367706179618835,0.991195023059845,0.9374218583106995,0.2312099188566208,0.9374218583106995,0.991168737411499
6,0.938481867313385,0.009999999776482582,0.2256006896495819,0.938481867313385,0.991611897945404,0.938712477684021,0.22604380548000336,0.938712477684021,0.9913281202316284
7,0.9397387504577637,0.009999999776482582,0.22037310898303986,0.9397387504577637,0.9918206334114075,0.9393218755722046,0.2225983440876007,0.9393218755722046,0.9916999936103821
8,0.940482497215271,0.009999999776482582,0.21693585813045502,0.940482497215271,0.9920687675476074,0.9396187663078308,0.2212619185447693,0.9396187663078308,0.9917187690734863
9,0.9410625100135803,0.009999999776482582,0.2140061855316162,0.9410625100135803,0.99227374792099,0.9399374723434448,0.22000057995319366,0.9399374723434448,0.9918875098228455
10,0.9412881135940552,0.009999999776482582,0.21222816407680511,0.9412881135940552,0.9923556447029114,0.9400468468666077,0.21901845932006836,0.9400468468666077,0.9919624924659729
11,0.9416275024414062,0.009999999776482582,0.2111203968524933,0.9416275024414062,0.9923962354660034,0.9396031498908997,0.2198633849620819,0.9396031498908997,0.9917749762535095
12,0.9406293630599976,0.009999999776482582,0.21393059194087982,0.9406293630599976,0.9922925233840942,0.9367281198501587,0.2288854718208313,0.9367281198501587,0.9911812543869019
13,0.9405418634414673,0.009999999776482582,0.21433725953102112,0.9405418634414673,0.992159366607666,0.9399187564849854,0.21922998130321503,0.9399187564849854,0.9917625188827515
14,0.9410206079483032,0.009999999776482582,0.21263033151626587,0.9410206079483032,0.9922487735748291,0.9389281272888184,0.22245237231254578,0.9389281272888184,0.9915124773979187
15,0.9396481513977051,0.009999999776482582,0.217722088098526,0.9396481513977051,0.9919931292533875,0.9378562569618225,0.22647985816001892,0.9378562569618225,0.9912968873977661
16,0.943156898021698,0.004999999888241291,0.20340488851070404,0.943156898021698,0.9927293658256531,0.9416531324386597,0.21126532554626465,0.9416531324386597,0.9922375082969666
17,0.9449656009674072,0.004999999888241291,0.19650855660438538,0.9449656009674072,0.9931018948554993,0.9417656064033508,0.21046572923660278,0.9417656064033508,0.9923468828201294
18,0.9453056454658508,0.004999999888241291,0.19454693794250488,0.9453056454658508,0.9933624863624573,0.9416593909263611,0.2105540782213211,0.9416593909263611,0.992396891117096
19,0.9449556469917297,0.004999999888241291,0.19549064338207245,0.9449556469917297,0.9932743906974792,0.941615641117096,0.21222451329231262,0.941615641117096,0.9921687245368958
20,0.9450556039810181,0.004999999888241291,0.1948259174823761,0.9450556039810181,0.9931818842887878,0.9414469003677368,0.2119569033384323,0.9414469003677368,0.9922031164169312
21,0.945455014705658,0.004999999888241291,0.1931590586900711,0.945455014705658,0.9933856129646301,0.9416656494140625,0.2111061066389084,0.9416656494140625,0.9921468496322632
22,0.9454437494277954,0.004999999888241291,0.19337794184684753,0.9454437494277954,0.9933831095695496,0.9417718648910522,0.21133312582969666,0.9417718648910522,0.9922749996185303
23,0.9475181102752686,0.0024999999441206455,0.1853509247303009,0.9475181102752686,0.9937974810600281,0.9426375031471252,0.2068680226802826,0.9426375031471252,0.9924437403678894
24,0.9482231140136719,0.0024999999441206455,0.18233954906463623,0.9482231140136719,0.9939112663269043,0.9425187706947327,0.20813585817813873,0.9425187706947327,0.992396891117096
25,0.9484768509864807,0.0024999999441206455,0.18140675127506256,0.9484768509864807,0.9939556121826172,0.9425031542778015,0.20850929617881775,0.9425031542778015,0.9924499988555908
26,0.9488275051116943,0.0024999999441206455,0.18003134429454803,0.9488275051116943,0.9940118789672852,0.942550003528595,0.20853501558303833,0.942550003528595,0.9923187494277954
27,0.9488793611526489,0.0024999999441206455,0.1802457869052887,0.9488793611526489,0.9939693808555603,0.9419406056404114,0.21074943244457245,0.9419406056404114,0.9923343658447266
28,0.94869065284729,0.0024999999441206455,0.1804877668619156,0.94869065284729,0.9939468502998352,0.9418905973434448,0.21077083051204681,0.9418905973434448,0.992243766784668
29,0.9496637582778931,0.0012499999720603228,0.1765596866607666,0.9496637582778931,0.9941662549972534,0.9429000020027161,0.2065674066543579,0.9429000020027161,0.9924687743186951
30,0.9501243829727173,0.0012499999720603228,0.17537595331668854,0.9501243829727173,0.9942299723625183,0.9427656531333923,0.20667904615402222,0.9427656531333923,0.9924281239509583
31,0.9500181078910828,0.0012499999720603228,0.17550110816955566,0.9500181078910828,0.9942687749862671,0.9428343772888184,0.2070251703262329,0.9428343772888184,0.9924530982971191
32,0.9499812722206116,0.0012499999720603228,0.17486655712127686,0.9499812722206116,0.9941818714141846,0.9426031112670898,0.20816077291965485,0.9426031112670898,0.9923750162124634
33,0.9502137303352356,0.0012499999720603228,0.17443862557411194,0.9502137303352356,0.9941999912261963,0.9430687427520752,0.2071661353111267,0.9430687427520752,0.9924906492233276
34,0.9504318833351135,0.0012499999720603228,0.173892542719841,0.9504318833351135,0.9942518472671509,0.9430062770843506,0.2074512392282486,0.9430062770843506,0.9925781488418579
35,0.9509943723678589,0.0006249999860301614,0.17152200639247894,0.9509943723678589,0.9943975210189819,0.9433906078338623,0.20551806688308716,0.9433906078338623,0.9925812482833862
36,0.951143741607666,0.0006249999860301614,0.1706089973449707,0.951143741607666,0.9944587349891663,0.9434812664985657,0.20504480600357056,0.9434812664985657,0.9925812482833862
37,0.9514756202697754,0.0006249999860301614,0.16995316743850708,0.9514756202697754,0.9944112300872803,0.9437687397003174,0.20497673749923706,0.9437687397003174,0.99261873960495
38,0.9514812231063843,0.0006249999860301614,0.1698448807001114,0.9514812231063843,0.9945062398910522,0.943540632724762,0.2056499719619751,0.943540632724762,0.9926280975341797
39,0.9516075253486633,0.0006249999860301614,0.16941717267036438,0.9516075253486633,0.9944718480110168,0.9435937404632568,0.20536987483501434,0.9435937404632568,0.9926062226295471
40,0.951574981212616,0.0006249999860301614,0.16932491958141327,0.951574981212616,0.9944831132888794,0.9434531331062317,0.20546235144138336,0.9434531331062317,0.9926937222480774
41,0.9514949917793274,0.0006249999860301614,0.16933755576610565,0.9514949917793274,0.9944999814033508,0.9433562755584717,0.2060147523880005,0.9433562755584717,0.9925749897956848
42,0.9518656134605408,0.0003124999930150807,0.1680840253829956,0.9518656134605408,0.994524359703064,0.9435437321662903,0.20517922937870026,0.9435437321662903,0.9926000237464905
43,0.9521306157112122,0.0003124999930150807,0.16759702563285828,0.9521306157112122,0.994610607624054,0.9435937404632568,0.205571711063385,0.9435937404632568,0.9926062226295471
44,0.9519693851470947,0.0003124999930150807,0.1674642115831375,0.9519693851470947,0.9945481419563293,0.9436030983924866,0.20501498878002167,0.9436030983924866,0.9926343560218811
45,0.9522881507873535,0.0003124999930150807,0.16700445115566254,0.9522881507873535,0.99458247423172,0.9439250230789185,0.2046680599451065,0.9439250230789185,0.9927343726158142
46,0.9522112607955933,0.0003124999930150807,0.16678468883037567,0.9522112607955933,0.9945775270462036,0.9436812400817871,0.20477616786956787,0.9436812400817871,0.9926656484603882
47,0.9522055983543396,0.0003124999930150807,0.16675972938537598,0.9522055983543396,0.9946025013923645,0.943665623664856,0.2045617401599884,0.943665623664856,0.9926843643188477
48,0.9524393677711487,0.0003124999930150807,0.16627024114131927,0.9524393677711487,0.994594395160675,0.9438156485557556,0.20455940067768097,0.9438156485557556,0.9927218556404114
49,0.9521737694740295,0.0003124999930150807,0.16663415729999542,0.9521737694740295,0.9945868849754333,0.9439031481742859,0.20488542318344116,0.9439031481742859,0.99271559715271
