epoch,learning_rate,loss,sparse_categorical_accuracy,sparse_top_k_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,val_sparse_top_k_categorical_accuracy
0,0.0010000000474974513,2.438727617263794,0.49412500858306885,0.6653125286102295,1.6148998737335205,0.5268750190734863,0.7599999904632568
1,0.0010000000474974513,1.4475317001342773,0.6016250252723694,0.7741875052452087,1.3196662664413452,0.6293749809265137,0.792187511920929
2,0.0010000000474974513,1.2845312356948853,0.6365625262260437,0.8050000071525574,1.2352385520935059,0.635937511920929,0.8096874952316284
3,0.0010000000474974513,1.217973232269287,0.6482499837875366,0.8147500157356262,1.1791149377822876,0.6481249928474426,0.8237500190734863
4,0.0010000000474974513,1.150484323501587,0.6730625033378601,0.8349375128746033,1.0877113342285156,0.7021874785423279,0.8496875166893005
5,0.0010000000474974513,1.0251352787017822,0.7236250042915344,0.8690000176429749,0.9509208798408508,0.7471874952316284,0.8915625214576721
6,0.0010000000474974513,0.8776445984840393,0.7644374966621399,0.9075000286102295,0.8282468914985657,0.7887499928474426,0.918749988079071
7,0.0010000000474974513,0.7503160834312439,0.8047500252723694,0.9301249980926514,0.7044535279273987,0.8215625286102295,0.9390624761581421
8,0.0010000000474974513,0.6462840437889099,0.8361250162124634,0.945187509059906,0.6205989718437195,0.8443750143051147,0.9462500214576721
9,0.0010000000474974513,0.5776208639144897,0.8526250123977661,0.9541249871253967,0.5633237957954407,0.8615624904632568,0.9534375071525574
10,0.0010000000474974513,0.5236087441444397,0.8648750185966492,0.9621250033378601,0.5305188298225403,0.8709375262260437,0.9549999833106995
11,0.0010000000474974513,0.4794350862503052,0.8765624761581421,0.9655625224113464,0.4921165108680725,0.8799999952316284,0.957812488079071
12,0.0010000000474974513,0.4426373839378357,0.887374997138977,0.9706875085830688,0.47846367955207825,0.8809375166893005,0.9643750190734863
13,0.0010000000474974513,0.4186824560165405,0.8911874890327454,0.9757500290870667,0.4693564176559448,0.8809375166893005,0.9662500023841858
14,0.0010000000474974513,0.3972014784812927,0.8974999785423279,0.9773125052452087,0.4533067047595978,0.8865625262260437,0.9693750143051147
15,0.0010000000474974513,0.3716205358505249,0.9048749804496765,0.9792500138282776,0.45929116010665894,0.8821874856948853,0.9706249833106995
16,0.0010000000474974513,0.3625956177711487,0.906125009059906,0.9801250100135803,0.42831191420555115,0.8974999785423279,0.9715625047683716
17,0.0010000000474974513,0.33906126022338867,0.9128749966621399,0.9838125109672546,0.4225618839263916,0.8974999785423279,0.971875011920929
18,0.0010000000474974513,0.32089850306510925,0.9182500243186951,0.9853125214576721,0.4157429039478302,0.8999999761581421,0.9740625023841858
19,0.0010000000474974513,0.30934104323387146,0.9197499752044678,0.9860625267028809,0.41411763429641724,0.903124988079071,0.9759374856948853
